year,value,country,country_name,ma3
1989,1.48743735647609,JPN,Japan,1.133330741720777
1990,1.59373585093941,JPN,Japan,1.4049546088939966
1991,0.867262229515636,JPN,Japan,1.316145145643712
1992,0.434703263934965,JPN,Japan,0.965233781463337
1993,0.306660845216759,JPN,Japan,0.5362087795557867
1994,0.36250499358969,JPN,Japan,0.36795636758047134
1995,0.408079928959411,JPN,Japan,0.35908192258862
1996,0.536266324114519,JPN,Japan,0.43561708222120665
1997,0.533944720064005,JPN,Japan,0.492763657712645
1998,0.483244007697163,JPN,Japan,0.517818350625229
1999,0.523338251565088,JPN,Japan,0.513508993108752
2000,0.906284998784738,JPN,Japan,0.6376224193489963
2001,0.815148295676258,JPN,Japan,0.7482571820086946
2002,0.738773360676762,JPN,Japan,0.8200688850459193
2003,0.762564558891062,JPN,Japan,0.7721620717480274
2004,0.830017786881673,JPN,Japan,0.777118568816499
2005,1.06934422431377,JPN,Japan,0.8873088566955017
2006,1.26372738030238,JPN,Japan,1.0543631304992744
2007,1.59374800913996,JPN,Japan,1.3089398712520368
2008,2.22539209896608,JPN,Japan,1.6942891628028065
2009,1.39289559918143,JPN,Japan,1.73734523576249
2010,1.38314848349735,JPN,Japan,1.66714539388162
2011,1.87441744713933,JPN,Japan,1.5501538432727033
2012,1.87540729067941,JPN,Japan,1.71099107377203
2013,2.98685341493344,JPN,Japan,2.245559384250727
2014,2.81651208481112,JPN,Japan,2.5595909301413236
2015,3.11399705562357,JPN,Japan,2.9724541851227104
2016,3.56958225944535,JPN,Japan,3.1666971332933467
2017,3.52374706152559,JPN,Japan,3.4024421255315036
2018,3.17837909643411,JPN,Japan,3.423902805801683
2019,5.04659310842062,JPN,Japan,3.9162397554601065
2020,2.97024478482841,JPN,Japan,3.7317389965610466
2021,4.16125568185979,JPN,Japan,4.0593645250362735
2022,4.10428029545103,JPN,Japan,3.74526025404641
2023,4.64281280520537,JPN,Japan,4.302782927505397
2024,5.03289135614276,JPN,Japan,4.593328152266387
1982,0.232490746276156,USA,United States,0.232490746276156
1983,0.241329342180792,USA,United States,0.236910044228474
1984,0.317514333344974,USA,United States,0.2637781406006407
1985,0.0848125791804939,USA,United States,0.21455208490208663
1986,0.426322557428754,USA,United States,0.27621648998474063
1987,0.819675338785203,USA,United States,0.44360349179815034
1988,0.414422934063193,USA,United States,0.5534736100923834
1989,0.903647559726176,USA,United States,0.7125819441915239
1990,1.00517445159802,USA,United States,0.7744149817957964
1991,0.800080673854023,USA,United States,0.9029675617260731
1992,0.901335163098415,USA,United States,0.9021967628501527
1993,1.20725067758402,USA,United States,0.969555504845486
1994,1.23489893836291,USA,United States,1.1144949263484483
1995,1.44062324560663,USA,United States,1.2942576205178533
1996,1.2760862526294,USA,United States,1.3172028121996466
1997,1.41508865502968,USA,United States,1.3772660510885701
1998,1.92831849988377,USA,United States,1.5398311358476164
1999,2.56962429953542,USA,United States,1.97101048481629
2000,1.81807575313563,USA,United States,2.1053395175182734
2001,1.38009798892094,USA,United States,1.9225993471973302
