date,usdjpy,eq_price,fx_ret,eq_ret,eq_ret_local,jpy_2y,jpy_10y,us_2y,jpy_2y_change,jpy_10y_change,us_2y_change,vix,diff_compression,yen_vol,jgb_pressure,fragility_pca,fragility_equal,fragility_no_vix,fragility_japan_only,boj_event,boj_shock,boj_tightening_shock,boj_easing_shock,major_tightening_event
2019-08-27,105.75,53.39,0.10396485034540603,-0.31790583108768367,-0.4218706814330897,-0.303,-0.265,1.53,2.0000000000000018,1.100000000000001,-1.0000000000000009,20.31,3.0000000000000027,0.5709507252237931,1.45,0.45859387983840527,0.32548237234008537,0.3536899097802846,0.25566629909792504,0,0.0,0.0,-0.0,0
2019-08-28,105.73,53.37,0.01891431819522893,-0.03746721662412078,-0.05638153481934971,-0.304,-0.271,1.5,-0.10000000000000009,-0.6000000000000005,-3.0000000000000027,19.35,2.8999999999999915,0.5697781659818638,1.46,0.4131413347668035,0.29047957657993906,0.35045788883384493,0.25981719880368215,0,0.0,0.0,-0.0,0
2019-08-29,106.29,53.75,-0.5282532801055062,0.7094876661918548,1.237740946297361,-0.317,-0.286,1.53,-1.3000000000000012,-1.4999999999999958,3.0000000000000027,17.88,-4.299999999999993,0.5805603151036758,1.4049999999999998,0.2253875699987303,-0.09030481653253504,-0.09073962604672385,0.2459439675127553,0,0.0,0.0,-0.0,0
2019-08-30,106.27,53.92,0.01881821608868961,0.3157799596279709,0.2969617435392813,-0.307,-0.275,1.5,1.0000000000000009,1.0999999999999954,-3.0000000000000027,18.98,4.0000000000000036,0.38273251512058865,1.2799999999999996,-0.26347260978976655,0.07492828069240054,0.07979803406520637,-0.245160825728849,0,0.0,0.0,-0.0,0
2019-09-04,106.22,54.25,-0.10361231087543388,0.5545300716425228,0.6581423825179566,-0.305,-0.286,1.43,-1.0000000000000009,-1.1999999999999955,-4.0000000000000036,17.33,7.200000000000006,0.353912092003912,1.1899999999999993,-0.45941396462070333,0.10354372800124181,0.1926116680923039,-0.36390617070150405,0,0.0,0.0,-0.0,0
2019-09-05,106.68,54.64,-0.4321284319560803,0.7163222841965577,1.148450716152638,-0.296,-0.269,1.55,0.9000000000000008,1.699999999999996,12.00000000000001,16.27,-11.100000000000021,0.3576052395314778,1.194999999999999,-0.7469568295498074,-0.7503702343391989,-0.8979770777319843,-0.3529848934868678,0,0.0,0.0,-0.0,0
2019-09-06,107.02,54.83,-0.31820335693453217,0.3471274153422854,0.6653307722768176,-0.302,-0.243,1.53,-0.6000000000000005,2.6000000000000023,-2.0000000000000018,15.0,1.4000000000000012,0.32660223329350646,1.239999999999999,-0.6923498019248513,-0.24828560862754417,-0.17106556197213596,-0.38748401052405507,0,0.0,0.0,-0.0,0
2019-09-09,106.96,55.19,0.056080008947123616,0.6544288035452261,0.5983487945981025,-0.319,-0.253,1.58,-1.7000000000000015,-1.0000000000000009,5.000000000000004,15.27,-6.699999999999995,0.32591393749730724,1.2549999999999992,-0.7778201158260433,-0.5993599248280999,-0.6513816927584123,-0.3790447855448014,0,0.0,0.0,-0.0,0
2019-09-10,107.36,55.35,-0.3732740429684078,0.2894881703236152,0.662762213292023,-0.294,-0.221,1.67,2.500000000000002,3.2,8.999999999999986,15.2,-6.499999999999995,0.3296946420395163,1.2699999999999991,-0.7557268194799877,-0.5838980741164117,-0.627598510415714,-0.36136787428158523,0,0.0,0.0,-0.0,0
2019-09-11,107.71,55.84,-0.32547571393068964,0.8813799299471015,1.206855643877791,-0.279,-0.201,1.68,1.4999999999999958,1.9999999999999991,1.0000000000000009,14.61,0.49999999999998934,0.28469561020158773,1.3699999999999992,-0.7347469264963499,-0.3025924385980764,-0.22582782940559065,-0.3886370315454951,0,0.0,0.0,-0.0,0
2019-09-12,107.76,56.21,-0.04641017394302338,0.6604218559866482,0.7068320299296715,-0.285,-0.207,1.72,-0.599999999999995,-0.5999999999999978,4.0000000000000036,14.22,-4.599999999999982,0.28420782116521376,1.314999999999999,-0.8704565443787754,-0.5638847395167108,-0.5565707247698485,-0.4258058871956856,0,0.0,0.0,-0.0,0
2019-09-13,107.99,56.87,-0.21320981425594354,1.1673284304724696,1.3805382447284131,-0.251,-0.15,1.79,3.3999999999999977,5.699999999999999,7.000000000000006,13.74,-3.600000000000003,0.25163517002261737,1.5199999999999991,-0.8037317063950997,-0.5014541181181379,-0.4516107095382067,-0.3583551756023776,0,0.0,0.0,-0.0,0
2019-09-16,107.84,56.57,0.13899830806716196,-0.5289151963643768,-0.6679135044315387,-0.251,-0.15,1.74,0.0,0.0,-5.000000000000004,14.67,4.999999999999982,0.2550306262423869,1.4349999999999992,-0.7002892592804594,-0.10737233915282704,0.031750738183882,-0.4072210808049902,0,0.0,0.0,-0.0,0
